ProvinceCode,Province,DistrictCode,District,ChiefdomCode,Chiefdom,SectionCode,Section,LocalityCode,Locality,chf,loc,CHIEFDOM_SECTION,geonm_placename,geonm_nm,geonm_altnm,geonm_long,geonm_lat,geonm_dist,osm_placename,osm_nm,osm_long,osm_lat,osm_dist
3.0,South ,1.0,BO,1.0,BADJIA,1.0,KPALLAY,1.0,NJANDAMA,BADJIA,NJANDAMA,BADJIA_KPALLAY,NJANDAMA,Gondama,Gondama,-11.39445,8.11477,3,NJANDAMA,Gondama,-11.3825946,8.1168136,3
3.0,South ,1.0,BO,2.0,BAGBO,1.0,BUM,1.0,BUM,BAGBO,BUM,BAGBO_BUM,BUM,Jimi,Jimi,-11.81675,7.60422,3,BUM,Fula,-11.9660351,7.5406694,3
3.0,South ,1.0,BO,2.0,BAGBO,4.0,GORAPON,1.0,KASSIE,BAGBO,KASSIE,BAGBO_GORAPON,KASSIE,Kasse,Kasse,-11.91972,7.53816,1,KASSIE,Kassi,-11.9196816,7.5380929,1
3.0,South ,1.0,BO,2.0,BAGBO,2.0,KPANGBALIA,1.0,KPANGBALIA,BAGBO,KPANGBALIA,BAGBO_KPANGBALIA,KPANGBALIA,Kpangbalia,"Bangbalia,Kpangbalia",-11.90163,7.57378,0,KPANGBALIA,Bangbalia,-11.9014612,7.5744672,2
3.0,South ,1.0,BO,2.0,BAGBO,3.0,MANO,1.0,MANO,BAGBO,MANO,BAGBO_MANO,MANO,Mano,Mano,-11.86861,7.55556,0,MANO,Mano,-11.8695123,7.5564123,0
3.0,South ,1.0,BO,2.0,BAGBO,5.0,NIAGOREHUN,1.0,NIAGOREHUN,BAGBO,NIAGOREHUN,BAGBO_NIAGOREHUN,NIAGOREHUN,Nyandehun,Nyandehun,-11.90388,7.60216,4,NIAGOREHUN,Senehun,-11.8685167,7.6118213,6
3.0,South ,1.0,BO,2.0,BAGBO,6.0,TISSANA,1.0,MOMAJO,BAGBO,MOMAJO,BAGBO_TISSANA,MOMAJO,Momajo,Momajo,-11.94,7.57806,0,MOMAJO,Momajo,-11.9293793,7.535,0
3.0,South ,1.0,BO,3.0,BAGBWE(BAGBE),1.0,JONGO,1.0,KONDIAMA,BAGBWE(BAGBE),KONDIAMA,BAGBWE(BAGBE)_JONGO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.0,South ,1.0,BO,3.0,BAGBWE(BAGBE),2.0,KEMOH,1.0,BENDUMA,BAGBWE(BAGBE),BENDUMA,BAGBWE(BAGBE)_KEMOH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.0,South ,1.0,BO,3.0,BAGBWE(BAGBE),3.0,SAMAWA,1.0,BALIE,BAGBWE(BAGBE),BALIE,BAGBWE(BAGBE)_SAMAWA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.0,South ,1.0,BO,3.0,BAGBWE(BAGBE),4.0,SAMAWA,1.0,MENDEWA,BAGBWE(BAGBE),MENDEWA,BAGBWE(BAGBE)_SAMAWA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2.0,North ,1.0,BOMBALI,1.0,BIRIWA,1.0,BALANDUGU,1.0,KAMASEKIE JUNCTION,BIRIWA,KAMASEKIE JUNCTION,BIRIWA_BALANDUGU,KAMASEKIE JUNCTION,Kamasiki,Kamasiki,-11.9105,9.32226,11,KAMASEKIE JUNCTION,Kamareki,-11.8579524,9.2201881,11
2.0,North ,1.0,BOMBALI,1.0,BIRIWA,2.0,BUMBAN,1.0,BUMBAN,BIRIWA,BUMBAN,BIRIWA_BUMBAN,BUMBAN,Bumban,Bumban,-11.85955,9.21407,0,BUMBAN,Bumban,-11.9080846,9.1231496,0
2.0,North ,1.0,BOMBALI,1.0,BIRIWA,4.0,KAKENDAMA,1.0,KAGBANEH,BIRIWA,KAGBANEH,BIRIWA_KAKENDAMA,KAGBANEH,Kagbane,Kagbane,-11.94908,9.29668,1,KAGBANEH,Kagbane,-11.9503789,9.2944641,1
2.0,North ,1.0,BOMBALI,1.0,BIRIWA,5.0,KAMAKOR,1.0,ENTER BY MILE 14 FROM KABALA HIGHWAY,BIRIWA,ENTER BY MILE 14 FROM KABALA HIGHWAY,BIRIWA_KAMAKOR,ENTER BY MILE 14 FROM KABALA HIGHWAY,Northern Province,"Northern,Northern Province,Province du Nord",-12.0,9.13333,29,ENTER BY MILE 14 FROM KABALA HIGHWAY,Makaimaia,-11.8570615,9.2656763,30
2.0,North ,1.0,BOMBALI,1.0,BIRIWA,3.0,KARASSA,1.0,KARASS ENTER BY KANIKAY JUNCTION,BIRIWA,KARASS ENTER BY KANIKAY JUNCTION,BIRIWA_KARASSA,KARASS ENTER BY KANIKAY JUNCTION,Karakana,Karakana,-11.91601,9.3789,24,KARASS ENTER BY KANIKAY JUNCTION,Kagbankuna,-11.9102856,9.4222099,24
2.0,North ,1.0,BOMBALI,1.0,BIRIWA,6.0,KARINA,1.0,ENTER BY KARINA JUNTION LEFT,BIRIWA,ENTER BY JUNTION LEFT,BIRIWA_KARINA,ENTER BY JUNTION LEFT,Gbengbe Hills,"Gbenabe Hills,Gbengbe Hills,Gbenge Hills",-11.85,9.13333,16,ENTER BY JUNTION LEFT,Bunbande,-12.0062291,9.0863742,16
2.0,North ,1.0,BOMBALI,1.0,BIRIWA,6.0,KARINA,2.0,ENTER BY MANJORO JUNCTION LEFT,BIRIWA,ENTER BY MANJORO JUNCTION LEFT,BIRIWA_KARINA,ENTER BY MANJORO JUNCTION LEFT,Northern Province,"Northern,Northern Province,Province du Nord",-12.0,9.13333,22,ENTER BY MANJORO JUNCTION LEFT,Mankorokoro,-11.9832647,9.1985184,23
2.0,North ,1.0,BOMBALI,1.0,BIRIWA,7.0,KAYONKORO,1.0,KARONKO JUNCTION,BIRIWA,KARONKO JUNCTION,BIRIWA_KAYONKORO,KARONKO JUNCTION,Matonkombo,Matonkombo,-11.87845,9.31605,10,KARONKO JUNCTION,Kagbankuna,-11.9102856,9.4222099,11
3.0,South ,1.0,BO,5.0,BO TOWN,1.0,TENGBEWABU,6.0,TENGBEWABU BO TOWN,KAKUA,BO,BO TOWN_TENGBEWABU,BO,Bo,"Bo,KBS,bo,bo cheng,bw,bw  syralywn,Μπο,Бо,בו,بو، سیرالیون,ボー,博城,보",-11.73833,7.96472,0,BO,Bo,-11.7366499,7.9620654,0
3.0,South ,1.0,BO,4.0,BOAMA,1.0,BAMBAWO,1.0,GOLU,BOAMA,GOLU,BOAMA_BAMBAWO,GOLU,Golu,Golu,-11.54414,7.90582,0,GOLU,Falu,-11.5872595,7.9345399,2
3.0,South ,1.0,BO,4.0,BOAMA,2.0,BAMBAWO,1.0,JORMU,BOAMA,JORMU,BOAMA_BAMBAWO,JORMU,Golu,Golu,-11.54414,7.90582,3,JORMU,Boabu,-11.368439,8.0623595,3
3.0,South ,1.0,BO,4.0,BOAMA,3.0,KIMAYA,1.0,KPUMBU,BOAMA,KPUMBU,BOAMA_KIMAYA,KPUMBU,Kpumbu,"Kpumbu,Pombu",-11.48774,7.97431,0,KPUMBU,Kpumbu,-11.4880298,7.9741139,0
3.0,South ,1.0,BO,4.0,BOAMA,4.0,LOWER PATALOO,4.0,PATALOO,BOAMA,PATALOO,BOAMA_LOWER PATALOO,PATALOO,Patama,Patama,-11.54419,7.83221,3,PATALOO,Matama,-11.397215,8.0417862,4
3.0,South ,1.0,BO,4.0,BOAMA,4.0,LOWER PATALOO,5.0,PATALOO MBUNDORBU,BOAMA,PATALOO MBUNDORBU,BOAMA_LOWER PATALOO,PATALOO MBUNDORBU,Mbundobu,"Bundobu,Mbundobu",-11.51072,7.92261,9,PATALOO MBUNDORBU,Bundobu,-11.5113273,7.9231696,10
3.0,South ,1.0,BO,4.0,BOAMA,5.0,MAWOJEH,1.0,KIGBAI,BOAMA,KIGBAI,BOAMA_MAWOJEH,KIGBAI,Kigbai,Kigbai,-11.50434,7.86981,0,KIGBAI,Kigbai,-11.5046658,7.8702563,0
3.0,South ,1.0,BO,4.0,BOAMA,5.0,MAWOJEH,1.0,BONYA PELEWAHUN,BOAMA,BONYA PELEWAHUN,BOAMA_MAWOJEH,BONYA PELEWAHUN,Lalewahun,Lalewahun,-11.58163,7.82499,7,BONYA PELEWAHUN,Njaluahun,-11.4501738,7.9375876,8
3.0,South ,1.0,BO,4.0,BOAMA,6.0,SONNAH,1.0,TUNGEBU,BOAMA,TUNGEBU,BOAMA_SONNAH,TUNGEBU,Tungbebu,"Tongwebu,Tungbebu,Tungebu,Tungwebu",-11.53247,7.87698,1,TUNGEBU,Tongwebu,-11.534672,7.8776805,2
3.0,South ,1.0,BO,4.0,BOAMA,7.0,UPPER PATALOO,4.0,PATALOO YAKAJI,BOAMA,PATALOO YAKAJI,BOAMA_UPPER PATALOO,PATALOO YAKAJI,Yakaji,Yakaji,-11.42769,8.005,8,PATALOO YAKAJI,Yakaji,-11.4280498,8.0052319,8
2.0,North ,1.0,BOMBALI,2.0,BOMBALI SEBORA,1.0,KAGBARAN DOKOM   B,2.0,KAGBARAN DOKOM PATE BANA,BOMBALI SEBORA,KAGBARAN DOKOM PATE BANA,BOMBALI SEBORA_KAGBARAN DOKOM   B,KAGBARAN DOKOM PATE BANA,Waribana,Waribana,-12.14314,8.76599,18,KAGBARAN DOKOM PATE BANA,Makump Bana,-12.0400921,8.8077134,15
2.0,North ,1.0,BOMBALI,2.0,BOMBALI SEBORA,2.0,KAGBARAN DOKOM   B,1.0,KAGBARAN DOKOM B MABOLLEH,BOMBALI SEBORA,KAGBARAN DOKOM B MABOLLEH,BOMBALI SEBORA_KAGBARAN DOKOM   B,KAGBARAN DOKOM B MABOLLEH,Makrombom,Makrombom,-11.9777,8.89002,19,KAGBARAN DOKOM B MABOLLEH,Mabole,-12.0575751,8.8242517,19
2.0,North ,1.0,BOMBALI,2.0,BOMBALI SEBORA,3.0,MATOTOKA,3.0,MATOTOKA MASSORY,BOMBALI SEBORA,MASSORY,BOMBALI SEBORA_MATOTOKA,MASSORY,Masori,Masori,-12.09864,8.70909,2,MASSORY,Maserry,-12.0291363,8.7608764,2
2.0,North ,1.0,BOMBALI,2.0,BOMBALI SEBORA,4.0,SEBORA,4.0,SEBORA MAFORAY,BOMBALI SEBORA,MAFORAY,BOMBALI SEBORA_SEBORA,MAFORAY,Masori,Masori,-12.09864,8.70909,3,MAFORAY,Maserry,-12.0291363,8.7608764,3
3.0,South ,1.0,BO,6.0,BUMPE NGAO,1.0,SAHN,1.0,SAHN SAHN,BUMPEH,SAHN,BUMPE NGAO_SAHN,SAHN,Sami,Sami,-11.87668,7.82133,2,SAHN,Sami,-11.876489,7.8216463,2
3.0,South ,1.0,BO,6.0,BUMPE NGAO,2.0,SEWAMA,2.0,SEWAMA KANIYA,BUMPEH,KANIYA,BUMPE NGAO_SEWAMA,KANIYA,Kanga,Kanga,-12.05127,7.95104,2,KANIYA,Waima,-11.9649286,7.9312588,3
